jogo;data_jogo;idade;cod_equipe;cod_equipe_opont;resultado;diff_pts;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
35;15/01/2005;20-016;8;36;W ;(+13);41;9;20;0.45;0;1;0;9;14;0.643;1;7;8;5;5;0;3;27;22.1
36;16/01/2005;20-017;8;34;L ;(-8);44;14;30;0.467;3;7;0.429;4;6;0.667;2;3;5;11;4;1;1;35;30.9
37;19/01/2005;20-020;8;31;W ;(+6);44;11;16;0.688;1;1;1;4;6;0.667;1;10;11;10;4;0;2;27;30.5
38;20/01/2005;20-021;8;32;L ;(-27);37;9;19;0.474;0;1;0;0;1;0;1;7;8;6;1;0;3;18;12.9
39;22/01/2005;20-023;8;12;W ;(+18);43;13;24;0.542;0;1;0;2;2;1;1;11;12;10;1;1;3;28;25.7
40;24/01/2005;20-025;8;38;L ;(-9);48;12;26;0.462;1;1;1;6;10;0.6;4;6;10;8;2;1;5;31;22.7
41;26/01/2005;20-027;8;18;W ;(+3);42;10;16;0.625;4;6;0.667;3;4;0.75;1;8;9;15;3;2;5;27;32
42;01/02/2005;20-033;8;28;L ;(-3);43;10;20;0.5;0;3;0;8;13;0.615;2;3;5;7;0;1;3;28;20.1
43;03/02/2005;20-035;8;19;L ;(-12);46;11;23;0.478;1;3;0.333;8;12;0.667;2;0;2;10;3;0;2;31;26.3
44;05/02/2005;20-037;8;28;W ;(+9);45;9;21;0.429;0;3;0;12;13;0.923;0;6;6;9;2;0;1;30;26.8
45;08/02/2005;20-040;8;35;W ;(+13);36;6;14;0.429;0;3;0;3;4;0.75;1;7;8;11;3;0;2;15;18.3
46;11/02/2005;20-043;8;10;L ;(-5);43;12;29;0.414;1;6;0.167;10;12;0.833;2;4;6;6;1;0;4;35;21.7
47;13/02/2005;20-045;8;17;W ;(+14);46;8;20;0.4;0;0;;9;10;0.9;2;6;8;9;3;1;3;25;22.8
48;16/02/2005;20-048;8;1;W ;(+22);37;11;20;0.55;2;2;1;4;5;0.8;0;5;5;6;3;0;3;28;23.7
49;17/02/2005;20-049;8;21;L ;(-6);41;10;19;0.526;1;2;0.5;5;6;0.833;2;5;7;8;1;0;2;26;23.8
50;23/02/2005;20-055;8;6;W ;(+9);44;8;17;0.471;1;1;1;10;15;0.667;1;5;6;11;5;0;3;27;27.4
51;25/02/2005;20-057;8;14;L ;(-24);41;9;25;0.36;0;1;0;3;4;0.75;3;4;7;5;2;1;2;21;14.2
52;27/02/2005;20-059;8;22;L ;(-6);45;9;20;0.45;1;2;0.5;9;10;0.9;1;3;4;7;2;0;5;28;19.1
53;28/02/2005;20-060;8;33;L ;(-2);45;6;22;0.273;1;4;0.25;7;10;0.7;1;7;8;7;0;0;2;20;10.3
54;02/03/2005;20-062;8;34;L ;(-17);41;11;20;0.55;5;7;0.714;5;8;0.625;0;5;5;5;0;0;4;32;21.4
55;04/03/2005;20-064;8;29;L ;(-9);40;12;21;0.571;0;1;0;10;12;0.833;1;6;7;7;4;0;6;34;28.3
56;06/03/2005;20-066;8;19;L ;(-20);41;9;19;0.474;0;1;0;5;7;0.714;0;4;4;5;2;0;1;23;17.8
57;08/03/2005;20-068;8;28;W ;(+19);40;9;22;0.409;2;6;0.333;3;4;0.75;0;7;7;8;1;1;1;23;18
58;13/03/2005;20-073;8;14;W ;(+12);44;12;23;0.522;1;5;0.2;10;11;0.909;2;3;5;5;1;0;4;35;25.7
59;15/03/2005;20-075;8;36;W ;(+19);35;11;15;0.733;2;5;0.4;12;16;0.75;2;7;9;2;0;1;1;36;32.5
60;16/03/2005;20-076;8;20;L ;(-8);45;13;26;0.5;4;9;0.444;4;7;0.571;1;6;7;6;1;0;5;34;22.5
61;18/03/2005;20-078;8;29;L ;(-12);46;3;20;0.15;0;4;0;10;12;0.833;0;8;8;8;4;0;4;16;10.4
62;20/03/2005;20-080;8;35;L ;(-7);48;18;36;0.5;6;12;0.5;14;15;0.933;2;8;10;5;2;0;4;56;42.9
63;22/03/2005;20-082;8;11;W ;(+15);43;11;24;0.458;2;7;0.286;5;8;0.625;1;5;6;6;1;0;0;29;22.4
64;24/03/2005;20-084;8;13;L ;(-19);42;7;22;0.318;1;4;0.25;4;7;0.571;0;4;4;8;1;0;2;19;10.6
65;26/03/2005;20-086;8;9;L ;(-31);36;7;17;0.412;0;2;0;5;6;0.833;1;3;4;6;0;0;3;19;11.9
66;28/03/2005;20-088;8;23;W ;(+1);53;16;29;0.552;3;10;0.3;9;11;0.818;2;4;6;3;4;0;10;44;26.8
67;29/03/2005;20-089;8;16;W ;(+10);41;7;20;0.35;2;8;0.25;6;7;0.857;0;7;7;5;2;1;1;22;17.7
68;31/03/2005;20-091;8;6;L ;(-12);53;10;28;0.357;1;4;0.25;5;11;0.455;4;2;6;7;4;2;3;26;16.7
69;01/04/2005;20-092;8;32;L ;(-19);44;13;21;0.619;2;4;0.5;7;10;0.7;0;8;8;9;2;0;7;35;27.2
70;03/04/2005;20-094;8;9;W ;(+20);48;10;23;0.435;4;8;0.5;13;13;1;2;8;10;7;2;1;6;37;29.1
71;05/04/2005;20-096;8;22;L ;(-31);40;9;19;0.474;3;6;0.5;3;6;0.5;2;7;9;4;2;2;6;24;16
72;06/04/2005;20-097;8;14;L ;(-21);33;9;18;0.5;0;3;0;2;4;0.5;2;2;4;3;1;0;2;20;12.5
73;08/04/2005;20-099;8;29;L ;(-5);48;12;30;0.4;2;6;0.333;11;11;1;4;9;13;7;5;0;5;37;30.8
74;09/04/2005;20-100;8;20;W ;(+17);47;15;26;0.577;7;13;0.538;3;3;1;1;9;10;10;2;1;3;40;37.1
75;11/04/2005;20-102;8;28;W ;(+8);48;12;23;0.522;1;6;0.167;8;10;0.8;1;6;7;6;5;1;2;33;29.7
76;14/04/2005;20-105;8;26;L ;(-6);42;7;25;0.28;4;13;0.308;9;14;0.643;1;17;18;7;2;2;4;27;19.2
77;15/04/2005;20-106;8;38;L ;(-8);48;16;33;0.485;1;6;0.167;5;8;0.625;2;4;6;6;1;0;1;38;25.7
78;17/04/2005;20-108;8;11;L ;(-3);45;12;35;0.343;2;7;0.286;11;14;0.786;3;8;11;6;0;1;1;37;24.5
79;19/04/2005;20-110;8;2;W ;(+14);47;13;27;0.481;2;3;0.667;4;5;0.8;1;7;8;6;5;0;3;32;25.7
80;20/04/2005;20-111;8;35;W ;(+9);48;10;23;0.435;2;8;0.25;5;10;0.5;2;12;14;14;0;1;2;27;26
1;02/11/2005;20-307;8;24;W ;(+22);33;9;16;0.563;6;7;0.857;7;8;0.875;1;2;3;4;2;0;3;31;24.9
2;04/11/2005;20-309;8;33;L ;(-26);37;7;16;0.438;0;3;0;6;7;0.857;0;6;6;4;0;1;3;20;12.3
3;05/11/2005;20-310;8;18;L ;(-7);41;14;29;0.483;4;9;0.444;4;5;0.8;0;2;2;6;2;0;2;36;24.9
4;07/11/2005;20-312;8;35;W ;(+12);36;9;17;0.529;0;2;0;9;12;0.75;0;3;3;6;1;2;1;27;22.8
5;09/11/2005;20-314;8;34;W ;(+27);36;10;18;0.556;0;2;0;11;11;1;1;4;5;1;0;1;4;31;21.3
6;11/11/2005;20-316;8;18;W ;(+19);26;5;11;0.455;0;1;0;6;6;1;1;5;6;2;3;1;3;16;12.6
7;13/11/2005;20-318;8;28;W ;(+8);49;9;20;0.45;1;4;0.25;7;11;0.636;0;5;5;3;0;1;2;26;15.5
8;15/11/2005;20-320;8;38;W ;(+15);42;15;23;0.652;2;3;0.667;5;5;1;1;9;10;4;0;2;3;37;31.1
9;18/11/2005;20-323;8;28;W ;(+18);34;6;17;0.353;0;3;0;4;6;0.667;1;5;6;4;2;0;4;16;7.9
10;19/11/2005;20-324;8;29;W ;(+3);47;14;24;0.583;0;2;0;8;10;0.8;2;9;11;10;1;1;5;36;31.4
11;22/11/2005;20-327;8;2;W ;(+22);41;13;20;0.65;1;3;0.333;9;11;0.818;0;5;5;4;2;2;1;36;31.5
12;24/11/2005;20-329;8;14;L ;(-22);43;6;20;0.3;0;4;0;7;11;0.636;1;9;10;4;5;1;6;19;10.1
13;26/11/2005;20-331;8;21;L ;(-4);44;13;29;0.448;6;11;0.545;6;6;1;2;3;5;2;4;0;2;38;27.8
14;30/11/2005;20-335;8;16;W ;(+7);50;7;20;0.35;0;3;0;14;17;0.824;0;7;7;9;1;1;6;28;19.3
15;02/12/2005;20-337;8;34;L ;(-7);45;14;27;0.519;0;5;0;6;8;0.75;0;3;3;8;1;3;1;34;28.1
16;03/12/2005;20-338;8;16;L ;(-12);45;8;25;0.32;3;5;0.6;11;14;0.786;0;5;5;6;1;1;1;30;19.7
17;06/12/2005;20-341;8;32;W ;(+5);44;10;23;0.435;1;5;0.2;9;12;0.75;2;4;6;6;2;3;5;30;21.8
18;09/12/2005;20-344;8;22;L ;(-9);45;11;26;0.423;0;4;0;10;15;0.667;2;4;6;3;0;1;7;32;13.4
19;10/12/2005;20-345;8;20;L ;(-5);43;19;29;0.655;5;9;0.556;9;10;0.9;0;7;7;7;2;0;3;52;42.9
20;13/12/2005;20-348;8;1;L ;(-6);45;13;23;0.565;3;6;0.5;10;16;0.625;0;10;10;6;2;0;6;39;26.9
21;15/12/2005;20-350;8;10;W ;(+9);45;11;18;0.611;1;4;0.25;3;6;0.5;0;4;4;9;1;0;3;26;20.9
22;17/12/2005;20-352;8;19;W ;(+8);46;12;19;0.632;2;4;0.5;15;16;0.938;0;5;5;10;1;0;4;41;36.4
23;20/12/2005;20-355;8;36;W ;(+25);29;8;12;0.667;1;1;1;8;9;0.889;2;4;6;4;3;2;5;25;23.8
24;22/12/2005;20-357;8;6;W ;(+8);44;12;25;0.48;4;6;0.667;9;13;0.692;0;5;5;6;4;0;2;37;29.6
25;23/12/2005;20-358;8;14;W ;(+5);44;4;16;0.25;0;1;0;6;11;0.545;1;7;8;9;1;0;3;14;9.1
26;26/12/2005;20-361;8;6;W ;(+11);45;12;25;0.48;0;5;0;8;12;0.667;1;7;8;6;2;2;2;32;26.1
27;27/12/2005;20-362;8;22;L ;(-5);40;12;21;0.571;1;5;0.2;6;9;0.667;1;9;10;8;2;0;4;31;25.7
28;31/12/2005;21-001;8;11;W ;(+13);45;11;22;0.5;2;5;0.4;6;7;0.857;1;6;7;7;4;1;5;30;24.9
29;04/01/2006;21-005;8;20;W ;(+7);46;12;29;0.414;2;8;0.25;6;7;0.857;2;9;11;11;5;1;4;32;29.2
30;05/01/2006;21-006;8;13;L ;(-9);44;13;19;0.684;3;7;0.429;3;6;0.5;1;8;9;5;1;0;3;32;25.7
31;07/01/2006;21-008;8;20;W ;(+8);45;14;22;0.636;3;7;0.429;4;9;0.444;2;5;7;6;0;1;0;35;30.6
32;10/01/2006;21-011;8;26;L ;(-8);46;14;31;0.452;0;7;0;8;11;0.727;0;7;7;7;0;1;1;36;25.4
33;12/01/2006;21-013;8;17;L ;(-1);40;11;22;0.5;2;3;0.667;4;9;0.444;0;2;2;9;0;0;5;28;16.1
34;14/01/2006;21-015;8;30;L ;(-9);44;18;28;0.643;5;8;0.625;5;5;1;0;7;7;8;1;0;1;46;40.9
35;15/01/2006;21-016;8;31;L ;(-2);41;10;26;0.385;1;5;0.2;8;11;0.727;2;11;13;7;1;3;2;29;23.1
36;18/01/2006;21-019;8;10;L ;(-1);42;7;20;0.35;2;6;0.333;8;15;0.533;2;9;11;9;0;0;2;24;16.4
37;20/01/2006;21-021;8;12;L ;(-20);35;5;22;0.227;0;3;0;4;6;0.667;1;8;9;6;0;0;6;14;-0.1
38;21/01/2006;21-022;8;36;W ;(+18);43;19;35;0.543;4;8;0.5;9;11;0.818;0;5;5;8;2;0;3;51;37.8
39;24/01/2006;21-025;8;14;W ;(+30);35;7;21;0.333;2;5;0.4;7;10;0.7;0;7;7;8;2;2;1;23;20
40;25/01/2006;21-026;8;1;W ;(+9);46;11;22;0.5;1;5;0.2;15;20;0.75;1;8;9;6;3;1;5;38;30.2
41;27/01/2006;21-028;8;14;W ;(+4);45;12;23;0.522;1;2;0.5;5;8;0.625;1;6;7;9;3;1;6;30;23.6
